"","age","trial","isyes","sayyes","conf","ID","cue","respt1","respt2","block","subblock","intensity","correct","congruency","congruency_stim","prevresp","prevconf","prevcorrect","prevcue","prevrespt1","prevrespt2","previsyes","study"
"1",27,2,0,0,1,7,0.75,1.1689,0.9796,2,1,0,"True","False","False",NA,NA,"",NA,NA,NA,NA,1
"2",27,3,1,1,0,7,0.75,1.7367,0.421,2,1,1.8,"True","True","True",0,1,"True",0.75,1.1689,0.9796,0,1
"3",27,4,0,1,0,7,0.75,1.1315,0.3112,2,1,0,"False","True","False",1,0,"True",0.75,1.7367,0.421,1,1
"4",27,5,1,0,0,7,0.75,1.3594,0.484,2,1,1.8,"False","False","True",1,0,"False",0.75,1.1315,0.3112,0,1
"5",27,6,1,0,0,7,0.75,0.9177,0.6463,2,1,1.8,"False","False","True",0,0,"False",0.75,1.3594,0.484,1,1
"6",27,7,1,0,0,7,0.75,1.3503,0.6677,2,1,1.8,"False","False","True",0,0,"False",0.75,0.9177,0.6463,1,1
"7",27,8,1,0,1,7,0.75,1.2695,0.2813,2,1,1.8,"False","False","True",0,0,"False",0.75,1.3503,0.6677,1,1
"8",27,9,1,1,0,7,0.75,1.126,0.2574,2,1,1.8,"True","True","True",0,1,"False",0.75,1.2695,0.2813,1,1
"9",27,10,0,1,0,7,0.75,1.1598,0.6957,2,1,0,"False","True","False",1,0,"True",0.75,1.126,0.2574,1,1
"10",27,11,1,0,1,7,0.75,0.9136,0.429,2,1,1.8,"False","False","True",1,0,"False",0.75,1.1598,0.6957,0,1
"11",27,12,1,1,0,7,0.75,1.1855,0.2077,2,1,1.8,"True","True","True",0,1,"False",0.75,0.9136,0.429,1,1
"12",27,13,1,0,0,7,0.25,1.3267,0.2828,2,2,1.8,"False","True","False",1,0,"True",0.75,1.1855,0.2077,1,1
"13",27,14,0,0,1,7,0.25,0.7612,0.3179,2,2,0,"True","True","True",0,0,"False",0.25,1.3267,0.2828,1,1
"14",27,15,1,0,1,7,0.25,0.8859,0.3035,2,2,1.8,"False","True","False",0,1,"True",0.25,0.7612,0.3179,0,1
"15",27,16,0,0,1,7,0.25,0.9428,0.5442,2,2,0,"True","True","True",0,1,"False",0.25,0.8859,0.3035,1,1
"16",27,17,0,0,1,7,0.25,1.0757,0.6753,2,2,0,"True","True","True",0,1,"True",0.25,0.9428,0.5442,0,1
"17",27,18,0,1,0,7,0.25,1.0353,0.0761,2,2,0,"False","False","True",0,1,"True",0.25,1.0757,0.6753,0,1
"18",27,19,0,1,0,7,0.25,1.2878,0.2656,2,2,0,"False","False","True",1,0,"False",0.25,1.0353,0.0761,0,1
"19",27,20,1,0,1,7,0.25,0.35,0.3974,2,2,1.8,"False","True","False",1,0,"False",0.25,1.2878,0.2656,0,1
"20",27,21,0,0,1,7,0.25,0.7574,0.453,2,2,0,"True","True","True",0,1,"False",0.25,0.35,0.3974,1,1
"21",27,22,0,0,1,7,0.25,1.0257,0.349,2,2,0,"True","True","True",0,1,"True",0.25,0.7574,0.453,0,1
"22",27,23,0,0,1,7,0.25,1.3197,0.2191,2,2,0,"True","True","True",0,1,"True",0.25,1.0257,0.349,0,1
"23",27,24,0,1,0,7,0.25,1.1014,0.1593,2,2,0,"False","False","True",0,1,"True",0.25,1.3197,0.2191,0,1
"24",27,25,0,0,1,7,0.25,0.8687,0.4077,2,3,0,"True","True","True",1,0,"False",0.25,1.1014,0.1593,0,1
"25",27,26,1,1,0,7,0.25,1.0223,0.1556,2,3,1.8,"True","False","False",0,1,"True",0.25,0.8687,0.4077,0,1
"26",27,27,0,0,1,7,0.25,1.2172,0.3335,2,3,0,"True","True","True",1,0,"True",0.25,1.0223,0.1556,1,1
"27",27,28,0,0,0,7,0.25,1.0701,0.4718,2,3,0,"True","True","True",0,1,"True",0.25,1.2172,0.3335,0,1
"28",27,29,0,0,1,7,0.25,1.1703,0.3996,2,3,0,"True","True","True",0,0,"True",0.25,1.0701,0.4718,0,1
"29",27,30,0,1,0,7,0.25,1.2315,0.2012,2,3,0,"False","False","True",0,1,"True",0.25,1.1703,0.3996,0,1
"30",27,31,0,0,1,7,0.25,0.8913,0.3382,2,3,0,"True","True","True",1,0,"False",0.25,1.2315,0.2012,0,1
"31",27,32,0,0,1,7,0.25,1.1136,0.1694,2,3,0,"True","True","True",0,1,"True",0.25,0.8913,0.3382,0,1
"32",27,33,1,1,1,7,0.25,0.9253,0.242,2,3,1.8,"True","False","False",0,1,"True",0.25,1.1136,0.1694,0,1
"33",27,34,0,0,0,7,0.25,0.9931,0.5399,2,3,0,"True","True","True",1,1,"True",0.25,0.9253,0.242,1,1
"34",27,35,0,1,0,7,0.25,0.9769,0.2262,2,3,0,"False","False","True",0,0,"True",0.25,0.9931,0.5399,0,1
"35",27,36,1,1,1,7,0.25,0.8417,0.2019,2,3,1.8,"True","False","False",1,0,"False",0.25,0.9769,0.2262,0,1
"36",27,37,0,0,1,7,0.25,1.1977,0.7186,2,4,0,"True","True","True",1,1,"True",0.25,0.8417,0.2019,1,1
"37",27,38,1,1,1,7,0.25,0.7227,0.2644,2,4,1.8,"True","False","False",0,1,"True",0.25,1.1977,0.7186,0,1
"38",27,39,0,0,1,7,0.25,1.3534,0.4396,2,4,0,"True","True","True",1,1,"True",0.25,0.7227,0.2644,1,1
"39",27,40,0,1,0,7,0.25,1.2204,0.193,2,4,0,"False","False","True",0,1,"True",0.25,1.3534,0.4396,0,1
"40",27,41,1,0,1,7,0.25,0.6195,0.0863,2,4,1.8,"False","True","False",1,0,"False",0.25,1.2204,0.193,0,1
"41",27,42,0,0,1,7,0.25,0.8692,0.2139,2,4,0,"True","True","True",0,1,"False",0.25,0.6195,0.0863,1,1
"42",27,43,0,0,1,7,0.25,1.2365,0.1087,2,4,0,"True","True","True",0,1,"True",0.25,0.8692,0.2139,0,1
"43",27,44,0,1,0,7,0.25,0.8494,0.142,2,4,0,"False","False","True",0,1,"True",0.25,1.2365,0.1087,0,1
"44",27,45,0,1,0,7,0.25,0.8397,0.1483,2,4,0,"False","False","True",1,0,"False",0.25,0.8494,0.142,0,1
"45",27,46,0,0,1,7,0.25,0.7483,0.2047,2,4,0,"True","True","True",1,0,"False",0.25,0.8397,0.1483,0,1
"46",27,47,0,0,1,7,0.25,1.1963,0.1383,2,4,0,"True","True","True",0,1,"True",0.25,0.7483,0.2047,0,1
"47",27,48,1,1,0,7,0.25,1.1655,0.1683,2,4,1.8,"True","False","False",0,1,"True",0.25,1.1963,0.1383,0,1
"48",27,49,1,0,1,7,0.25,1.4783,0.0336,2,5,1.8,"False","True","False",1,0,"True",0.25,1.1655,0.1683,1,1
"49",27,50,0,0,1,7,0.25,0.6839,0.09,2,5,0,"True","True","True",0,1,"False",0.25,1.4783,0.0336,1,1
"50",27,51,0,0,1,7,0.25,1.2685,0.4464,2,5,0,"True","True","True",0,1,"True",0.25,0.6839,0.09,0,1
"51",27,52,0,0,1,7,0.25,0.8964,0.1176,2,5,0,"True","True","True",0,1,"True",0.25,1.2685,0.4464,0,1
"52",27,53,0,0,0,7,0.25,1.1435,0.2348,2,5,0,"True","True","True",0,1,"True",0.25,0.8964,0.1176,0,1
"53",27,54,1,1,1,7,0.25,0.9743,0.4008,2,5,1.8,"True","False","False",0,0,"True",0.25,1.1435,0.2348,0,1
"54",27,55,0,0,1,7,0.25,0.7758,0.7625,2,5,0,"True","True","True",1,1,"True",0.25,0.9743,0.4008,1,1
